LD1	LD2	sampleID
-0.05418405	-5.700778	HGDP01322
0.34538606	-5.9589314	HGDP00977
0.84292626	-5.530881	HGDP00780
1.5672283	-4.9484496	HGDP01287
1.7241269	-4.4738765	HGDP01292
1.6904994	-5.33351	HGDP00976
2.1912696	-4.4013147	HGDP01224
1.9550343	-4.5346303	HGDP01184
-0.6804138	-6.650311	HGDP01334
0.35908887	-5.774192	HGDP01321
0.5662956	-5.925215	HGDP01101
1.6765324	-4.2200675	HGDP01353
-0.4778285	-6.3580832	HGDP00817
1.6123092	-4.4338226	HGDP01180
0.6028218	-5.5514283	HGDP01195
1.7998357	-4.579212	HGDP01341
0.89675236	-4.985081	HGDP01319
-0.21430978	-6.1364045	HGDP01311
0.14255902	-6.147156	HGDP01193
1.9231222	-4.919548	HGDP01104
0.7924537	-4.8563294	HGDP01187
1.614213	-4.271364	HGDP01347
0.082011014	-6.2925124	HGDP01197
1.9645133	-4.474127	HGDP01349
1.9103832	-4.354436	HGDP01351
0.31242874	-5.443407	HGDP01328
1.5392053	-4.711944	HGDP01295
1.4107615	-4.842871	HGDP01288
-0.64652985	-6.1929674	HGDP01329
1.7835912	-4.7314296	HGDP00747
1.7736686	-4.591519	HGDP01293
0.60244834	-5.783861	HGDP00973
2.1853967	-4.8486753	HGDP00762
1.7792479	-4.5049367	HGDP01185
-0.18691733	-6.1466107	HGDP01331
0.44014838	-6.1215725	HGDP01103
-0.5715826	-6.042937	HGDP01317
1.9848772	-4.653081	HGDP01346
1.2307291	-4.7658343	HGDP01342
2.4905164	-3.9405513	HGDP01238
0.84193003	-5.637457	HGDP01326
1.8743095	-3.9780242	HGDP01356
3.1821506	-3.1262338	HGDP00958
2.3667078	-4.2064705	HGDP01247
2.2644873	-4.73823	HGDP00766
2.6187305	-4.113307	HGDP01233
2.6419525	-4.0167546	HGDP01207
0.26889703	-5.6605167	HGDP01336
-0.12477645	-6.2280126	HGDP00819
2.771888	-0.57967836	HGDP00382
3.1939838	-2.887191	HGDP00946
-0.5709229	-6.455097	HGDP01332
1.6939915	-4.7044168	HGDP01337
2.234551	-4.088471	HGDP01222
1.8745877	-4.7694197	HGDP01291
1.5916214	-4.4419713	HGDP01183
1.3093028	-4.7756896	HGDP00822
1.8630106	-4.561547	HGDP00755
2.7736633	-2.964256	HGDP00966
2.800488	-2.736015	HGDP01304
-0.19909242	-5.1205297	HGDP00716
1.7527615	-4.352125	HGDP01182
2.8741407	-3.7549326	HGDP01230
3.254934	-2.8946846	HGDP00965
0.17272767	-5.847749	HGDP01194
2.700318	-0.5251948	HGDP00376
2.3542979	-0.4649498	HGDP00364
3.3285136	-2.8745902	HGDP00954
3.2622905	-3.873246	HGDP01234
0.2780182	-5.976406	HGDP00712
3.3013277	-3.1693363	HGDP00962
1.9716473	-4.366031	HGDP00754
